Text,Ratings
"Worst company ever, highly unprofessional technicians. Their only objective is to fleece money out of the customers.",1
Feeling LOOTED!!!!!....For Chimney Cleaning ...I was charged 600 Rupees ... same simple work could have been done by any house maid by Rs 50-100 tip ?? Guys BEWARE the Kind of work to be done and it Charges......don't get Fooled,1
"Wastage of money and time, there professionals are unskilled unprofessional and no sense of time … i have tried there services 5 6 time in 3 year there services are getting bad and bad…they will never come at time, either they will come 1 hou early or one hour late .. no point of booking an appointment",1
"I recently booked a full-body massage from Urban Company, hoping for a relaxing experience. However, my encounter with Dhanjay Kumar Singh was far from satisfactory. To start, he arrived late at 11:30 AM, which was quite inconvenient. During the massage, the pressure applied was disappointingly weak, hardly providing the relief I had anticipated. It felt more like a gentle touch rather than a massage aimed at relieving tension and stress.

To compound my disappointment, the session ended abruptly after just 90 minutes, well short of the promised duration for a full-body massage. When I voiced my concerns about the lack of pressure, Mr. Singh suggested I should have chosen a ""pain relief"" package, an unprofessional and insensitive response to my valid concerns. My expectation was a rejuvenating experience, but instead, I left feeling unsatisfied and frustrated.

Maintaining the quality and professionalism of services is crucial for Urban Company's reputation, and I urge them to reconsider offering services with Dhanjay Kumar Singh.",1
"Urban company showcases that it’s organised. For everything which they mess up all they have is to say sorry. Instead of solving they ask you to do a few more things .

I booked an appointment for getting chimney repair . 20mins before the scheduled time the technician calls and say I am in the hospital since yesterday. Instead of assigning a new technician they are asking me to reschedule the appointment because customer time is free.

Now I have to cancel it and redo the entire thing.

Then they don’t have a number you have to talk to a chat bot .

Never get their services if you got it then thank god on that day. Else be ready to go round and round . They will give you good stories as they are good at it.",1
"I  booked a cracking sound from TV complaint on urban company on 2nd October 2023. They quoted some 3500/- for repair.

I accepted quote, they took my TV, repaired it and returned on a payment of Rs.3420/-.

But problem recurred in a month or so. Since they had given warranty that they will repair for free if the same problem occurred again in six months, I booked a revisit on 15 Nov again.

They again took my TV, repaired it and returned. But this time, the cracking sound returned within a week with additional problem of screen going blank.

I again tried to book a revisit. They registered but then closed complaint after a few days without any revisit. And they have designed their app in such a manner, that there is no way that I could book a revisit or claim warranty.

To carry out their intentional fraud of not honouring their warranty, they froze their app to a single point where I could not proceed on app without paying a paltry Rs.30/-. It was a small amount, so I paid.

But it was a trap I feel, now they refunded this Rs.30/- immediately to my account and claim that the warranty is settled as they have refunded the Rs.30/- payment.

All options of reopening the job are not functional on the app now.

I’m thinking of lodging a case in consumer court now for this blatant fraud. If any learned lawyer can take this case to conclusion, he may DM me here in comments.

I have taken necessary screen shots just in case Urban Company decides to block my account after this complaint.",1
"Recently I purchased a Native M1 water purifier from Amazon. A technician of Urban Company came to my place for installation two days later. After visiting my place he immediately commented that the space in the kitchen is not suitable for installation. When I asked him why, he said that the space for installation will be too high or too low. He insisted to return the machine and purchase water purifier of some other company. I reported the issue to the company.

Seven days later another technician was sent to my place again. He also refused to install it giving same reason first. I requested him to install it in the kitchen at slightly raised height and I said that collection of water from that level will not be a big problem. He then said that the concealed water pipeline and electrical line may get damaged and many other silly excuses. I then suggested him to install it in the balcony wher both electrical and water connections are available. He again refused to install it and also continuously insisted me to return the machine and purchase water purifier of other company. He also left my place without even unboxing the package.

Highly disappointed with the attitude of technicians for refusing to install it without showing acceptable reasons.

I had a feeling of some foul play behind it; these technicians might work for other companies.

Urban Company should be cautious about these kind of technicians who are damaging the reputation of the company.",1
"WORST - I have purchased M2 Water Purifier. To install the Machine no proper technician available. Simply attended as an officer of customer and said that It can be installed and the Machine is not suitable to install. He wants to install on open space and near by sink or Morie so that in case of machine leaks it will go to sink. He is not able answer why the leakage will get. Finally, we collect back the machine and refund will be initiated. WORST. i READ THE LEAKAGE ISSUE OF MACHINE ON THE ASSURENCE OF SALES PEOPLE PURCHASED.",1
"I booked for a mens haircut for my father. I immediately received a booking confirmation for 11am. However, I did not receive any intimation from them till 11:40am. After I called on the number, the assigned person had the audacity to say I was sleeping so I will come at 12:30pm.

At 12noon I got a message from Urban Company saying your appointment has been cancelled and that they have rescheduled it for 2pm. This was assuming your customers are waiting for your fraud and pathetic response. I have no option but to cancel their service and henceforth will never assign Urban Company for anything.",1
"We needed a 3BHK flat cleaned urgently before a deadline for a new tenant to move in. We booked UC for the job. On the appointed

day, the professional cleaner showed up and told us incorrectly that this was `not 3BHK' and refused to do the job unless we cancelled the booking, as an incorrect booking, paying a cancellation fee. We were also to pay him directly(not the Urban Company) `under the table' for doing the job. We complained to Urban Company, who

understood the situation and refunded our cancellation fee. The cleaning `professional' called us and abused us over the phone for informing UC. We went through a lot of stress as a result. We feel UC should not be hiring such people. Luckily we found a professional

alternative in Clean Fanatics, who came and did the job perfectly.",2
